collocation;count;count_nested;length;lambda;z
digitale lösungen;9;0;2;6.70422865739064;4.59805074777339
digitalen raum;9;0;2;3.86948119050018;7.0552282866263
darüber hinaus;6;0;2;10.9440292467481;5.36942814747029
auf- ausbau;6;0;2;7.99544852213046;5.31899873750655
digitalen prozessen;6;0;2;5.85130523279742;3.97481714356047
digitaler angebote;6;0;2;5.80860438375309;8.54576003420031
land kommunen;6;0;2;5.80860438375309;8.54576003420031
gute digitale;6;0;2;4.66209047624077;6.82439490833
digitale welt;6;0;2;4.31857595699415;6.37377537461966
digitale ausstattung;6;0;2;3.3172162686585;6.28434920699918
digitale verwaltung;6;0;2;3.3172162686585;6.28434920699918
digitalen infrastruktur;6;0;2;2.90257030430335;5.56208702785234
ländlichen raum;5;0;2;7.82885547943028;5.17623174187624
600 verwaltungsdienstleistungen;3;0;2;10.3263668168981;4.98784220033117
90 prozent;3;0;2;10.3263668168981;4.98784220033117
ETCS einnehmen;3;0;2;10.3263668168981;4.98784220033117
abfallmanagement umweltfreundlich;3;0;2;10.3263668168981;4.98784220033117
abrechnung sportförderung;3;0;2;10.3263668168981;4.98784220033117
akademischen personals;3;0;2;10.3263668168981;4.98784220033117
aktuelle messdaten;3;0;2;10.3263668168981;4.98784220033117
