collocation;count;count_nested;length;lambda;z
verfügung stellen;8;0;2;6.68336094576628;8.94961356717312
digitalen möglichkeiten;8;0;2;3.51119595431712;6.5839992097268
ermittlungskompetenz zusätzliche;6;0;2;10.9310870739578;5.36307451620183
zusätzliche it-expertinnen;6;0;2;10.9310870739578;5.36307451620183
bürgerinnen bürger;6;0;2;8.98378027663078;5.7512449709745
schülerinnen schüler;6;0;2;8.36334246659798;5.50486959318171
schülerinnen schülern;6;0;2;8.36334246659798;5.50486959318171
digitaler kompetenzen;6;0;2;7.7066129139642;5.15574516843874
digitale kompetenz;6;0;2;6.29243052130447;4.26752653395604
digitalen endgeräten;6;0;2;5.78624649101875;3.93117602786664
digitalen ermittlungskompetenz;6;0;2;5.78624649101875;3.93117602786664
digitalen raum;6;0;2;5.78624649101875;3.93117602786664
digitaler medien;6;0;2;5.75929827029598;7.98648751639405
stärkung digitaler;6;0;2;4.75795451925505;8.16487975336954
bildung digitalen;6;0;2;3.98729912619936;5.91748781571374
digitalen welt;6;0;2;3.83888426039173;5.7089475430181
digitale verwaltung;6;0;2;3.72461924917788;6.50374534205416
stärkung digitalen;6;0;2;2.98587523978392;5.70861360555493
deshalb schrittweise;5;0;2;8.81719195816141;5.6125197613887
schrittweise digitale;5;0;2;6.54434126049356;4.40006930853188
