collocation;count;count_nested;length;lambda;z
schülerinnen schüler;14;0;2;11.6550758570749;5.77758375892562
bereitstellung inhaltlichen;6;0;2;10.8567464625103;5.32657806918196
öffentlichen gesundheitsdienstes;6;0;2;10.8567464625103;5.32657806918196
ländlichen räumen;6;0;2;8.90933179963054;5.70354239109065
berufsbildenden schulen;6;0;2;8.90933179963054;5.70354239109065
digitalisierung landwirtschaft;6;0;2;8.90933179963054;5.70354239109065
digitalen lehre;6;0;2;6.19612770338765;4.2025488994783
digitalen medien;6;0;2;6.19612770338765;4.2025488994783
heute digitale;6;0;2;5.91731953723134;4.0176978774333
zentrum digitale;6;0;2;5.91731953723134;4.0176978774333
digitale lösungen;6;0;2;5.68384137623488;3.86182251570579
digitale plattformen;6;0;2;5.68384137623488;3.86182251570579
digitalen endgerät;6;0;2;4.24867354990825;6.26778256790867
digitalen raum;6;0;2;4.24867354990825;6.26778256790867
digitale transformation;6;0;2;4.07335661732988;5.413347436819
dabei digitalen;6;0;2;3.44376645596053;6.47177055879411
digitale lernmittelfreiheit;5;0;2;5.50502244999212;3.71652533175222
-speicherung abbildet;3;0;2;10.2392095077666;4.9457193769325
ab jahrgang;3;0;2;10.2392095077666;4.9457193769325
abgestimmt fortführen;3;0;2;10.2392095077666;4.9457193769325
